,Total Return (%),CAGR (%),Max Drawdown (%)
SMA,279.9241319185755,13.073400996819217,-45.61277945449146
Bollinger,9.825150995226872,0.8664082660276851,-47.70245257458483
Growth–Value,0.0,0.0,0.0
Momentum,138.95456095344986,8.835222899707485,-41.22448689368532
RSI,-98.6542212838183,-32.73733046059988,-98.65441571752544
MACD,683.4061941421571,20.862204697667885,-26.740511156534406
