Date,AAPL,MSFT,AMZN,GOOGL,TSLA,META,JNJ,BAC,XOM,WMT
2016-11-15,24.687294006347656,53.060791015625,37.1619987487793,38.49251174926758,12.251333236694336,116.48191833496094,90.62362670898438,16.47018814086914,58.51161575317383,20.314411163330078
2016-11-16,25.351091384887695,53.76381301879883,37.324501037597656,38.73186111450195,12.26200008392334,115.62718963623047,90.65478515625,16.135231018066406,57.790496826171875,20.305877685546875
2016-11-17,25.341873168945312,54.656124114990234,37.81999969482422,39.03874588012695,12.577333450317383,117.06830596923828,90.81839752197266,16.404830932617188,57.44004821777344,19.680124282836914
2016-11-18,25.367229461669922,54.39472961425781,38.007999420166016,38.53273391723633,12.334667205810547,116.30302429199219,90.49674987792969,16.33946990966797,57.47373962402344,19.495237350463867
2016-11-21,25.752140045166016,54.85441970825195,39.0,38.97121047973633,12.3013334274292,121.02392578125,90.21434783935547,16.609073638916016,58.28921890258789,19.731321334838867
2016-11-22,25.768278121948242,55.08875274658203,39.26649856567383,38.98114013671875,12.744667053222656,120.72575378417969,88.44143676757812,16.584558486938477,58.417266845703125,19.944643020629883
2016-11-23,25.63689613342285,54.43980407714844,39.00600051879883,38.683197021484375,12.87600040435791,120.09961700439453,88.7003173828125,16.79698371887207,58.57900619506836,20.14659881591797
2016-11-25,25.76595687866211,54.55697250366211,39.01850128173828,38.74428176879883,13.109999656677246,119.6424560546875,89.5318603515625,17.042064666748047,58.71379470825195,20.26036834716797
2016-11-28,25.715255737304688,54.629085540771484,38.3385009765625,39.02037048339844,13.074666976928711,119.6722640991211,88.74737548828125,16.584558486938477,58.27571487426758,20.248991012573242
2016-11-29,25.68990135192871,55.06171417236328,38.125999450683594,39.20162582397461,12.637999534606934,120.12944030761719,88.23746490478516,16.576391220092773,57.89158630371094,20.30019187927246
2016-11-30,25.47325325012207,54.313602447509766,37.528499603271484,38.52826690673828,12.626667022705078,117.69445037841797,87.31182098388672,17.31849479675293,58.835105895996094,20.03282356262207
2016-12-01,25.235855102539062,53.358219146728516,37.182498931884766,37.9547233581543,12.125332832336426,114.39479064941406,87.37455749511719,17.630096435546875,58.79465866088867,20.101083755493164
2016-12-02,25.330354690551758,53.403289794921875,37.016998291015625,37.961181640625,12.097999572753906,114.69294738769531,87.82955169677734,17.40869903564453,58.6599006652832,20.160816192626953
2016-12-05,25.14826774597168,54.27756118774414,37.96799850463867,38.644466400146484,12.453332901000977,116.71051788330078,87.81387329101562,17.90890121459961,58.9564094543457,19.893444061279297
2016-12-06,25.341873168945312,54.03421401977539,38.236000061035156,38.54315948486328,12.390000343322754,116.59123992919922,87.9079818725586,18.171297073364258,59.01032638549805,20.012907028198242
2016-12-07,25.59079360961914,55.314090728759766,38.520999908447266,39.302425384521484,12.876667022705078,117.22732543945312,87.1548843383789,18.50750732421875,59.35404968261719,20.22490692138672
2016-12-08,25.842029571533203,54.98960876464844,38.36650085449219,39.48615646362305,12.81933307647705,118.18144989013672,87.06861877441406,18.819107055664062,59.522518157958984,20.150421142578125
2016-12-09,26.263813018798828,55.85488510131836,38.43299865722656,40.19526672363281,12.812000274658203,118.94672393798828,88.06490325927734,18.933908462524414,59.980804443359375,20.0759334564209
2016-12-12,26.113998413085938,56.03513717651367,38.00600051879883,40.1182975769043,12.828666687011719,117.04842376708984,90.49674987792969,18.540306091308594,61.315216064453125,20.531421661376953
2016-12-13,26.54961395263672,56.765220642089844,38.71699905395508,40.48775100708008,13.210000038146973,119.57286834716797,90.91251373291016,18.540306091308594,62.39351272583008,20.56866455078125
